KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT;POCMANDCR;NAZEVPLNY;SOURADNICE
11;1041;Společnost proti developerské výstavbě v Prokopském údolí;Společ. proti develop. výstavbě v Prokop. údolí;Společ.proti výst.v Prok.údolí;SPDV;1;1041;02222222222222;A;;0;Společnost proti developerské výstavbě v Prokopském údolí;
12;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;00000000000000;A;;0;Strana svobodných občanů;
13;155;Blok proti islamizaci - Obrana domova;Blok proti islamizaci - Obrana domova;Blok proti islam.-Obran.domova;BPI;1;155;00000000000000;A;;0;Blok proti islamizaci - Obrana domova;
14;1173;Občanská demokratická aliance;Občanská demokratická aliance;Občanská demokratická aliance;ODA;1;1173;00000000000000;A;;0;Občanská demokratická aliance;
15;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;00000000000000;A;;22;Česká pirátská strana;
16;762;OBČANÉ 2011-SPRAVEDLNOST PRO LIDI;OBČANÉ 2011-SPRAVEDLNOST PRO LIDI;OBČANÉ 2011-SPRAVEDL. PRO LIDI;OBČANÉ 2011;1;762;02202222222222;A;;0;OBČANÉ 2011-SPRAVEDLNOST PRO LIDI;
17;1183;Unie Hrdosti, Aktivity, Vlastenectví, Empatie a Lidskosti 2017;Unie Hrdosti,Aktivity,Vlastenectví,Emp.,Lidsk.2017;Unie H.A.V.E.L.;Unie H.A.V.E.L.;1;1183;00222222222222;A;;0;Unie Hrdosti, Aktivity, Vlastenectví, Empatie a Lidskosti 2017;
18;1120;Česká národní fronta;Česká národní fronta;Česká národní fronta;ČNF;1;1120;22222222222220;A;;0;Česká národní fronta;
19;1178;Referendum o Evropské unii;Referendum o Evropské unii;Referendum o Evropské unii;Referendum o EU;1;1178;00000000000000;A;;0;Referendum o Evropské unii;
20;721;TOP 09;TOP 09;TOP 09;TOP 09;1;721;00000000000000;A;;7;TOP 09;
21;768;ANO 2011;ANO 2011;ANO 2011;ANO;1;768;00000000000000;A;;78;ANO 2011;
22;1127;Dobrá volba 2016;Dobrá volba 2016;Dobrá volba 2016;DV 2016;1;1127;00022000020000;A;;0;Dobrá volba 2016;
23;1125;Sdružení pro republiku - Republikánská strana Československa Miroslava Sládka;Sdružení pro republiku-Republ.str.Českosl.M.Sládka;SPR-Republ.str.Čsl. M.Sládka;SPRRSČ M.Sládka;1;1125;00000000000000;A;;0;Sdružení pro republiku - Republikánská strana Československa Miroslava Sládka;
24;1;Křesťanská a demokratická unie - Československá strana lidová;Křesťan.a demokrat.unie-Českosl.strana lidová;Křesť.demokr.unie-Čs.str.lid.;KDU-ČSL;1;1;00000000000000;A;;10;Křesťanská a demokratická unie - Československá strana lidová;
25;2;Česká strana národně sociální;Česká strana národně sociální;Česká strana národně sociální;ČSNS;1;2;00002002200020;A;;0;Česká strana národně sociální;
26;1176;REALISTÉ;REALISTÉ;REALISTÉ;REAL;1;1176;00000000000000;A;;0;REALISTÉ;
27;1182;SPORTOVCI;SPORTOVCI;SPORTOVCI;SPORTOVCI;1;1182;00000000000000;A;;0;SPORTOVCI;
28;156;Dělnická strana sociální spravedlnosti;Dělnická strana sociální spravedlnosti;Dělnic.str.sociální spravedl.;DSSS;1;156;00000000000000;A;;0;Dělnická strana sociální spravedlnosti;
29;1114;Svoboda a přímá demokracie - Tomio Okamura (SPD);Svoboda a přímá demokracie - Tomio Okamura (SPD);Svob.a př.dem.-T.Okamura (SPD);SPD;1;1114;00000000000000;A;;22;Svoboda a přímá demokracie - Tomio Okamura (SPD);
30;724;Strana Práv Občanů;Strana Práv Občanů;Strana Práv Občanů;SPO;1;724;00000000000000;A;;0;Strana Práv Občanů;
31;1116;Národ Sobě;Národ Sobě;Národ Sobě;NáS;1;1116;22222222220222;A;;0;Národ Sobě;
